Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),CR:Zone Mean Air Temperature [C](TimeStep),CR:AFN Zone Infiltration Air Change Rate [ach](Hourly) 
 05/04  02:40:00,23.3,45.0,2.0,352.0,0.0,0.0,-43.505654000471448,26.044330465339664 
 05/04  02:50:00,22.8,46.0,2.2,351.0,0.0,0.0,-41.82737783547911,25.979757114713878 
 05/04  03:00:00,22.4,48.0,2.5,344.0,0.0,0.0,-40.08435429327692,25.86632977602504,0.29854103301817677 
 05/04  03:10:00,22.1,52.0,3.0,340.0,0.0,0.0,-38.28315284952922,25.729365896675483 
 05/04  03:20:00,21.8,51.0,2.7,340.0,0.0,0.0,-36.42966587082242,25.674452794006684 
 05/04  03:30:00,21.6,52.0,1.7,339.0,0.0,0.0,-34.52915956749158,25.651382270274465 
 05/04  03:40:00,21.7,48.0,2.9,340.0,0.0,0.0,-32.58632928709603,25.546720902287527 
 05/04  03:50:00,21.9,51.0,2.5,342.0,0.0,0.0,-30.605355362528205,25.491480159257006 
 05/04  04:00:00,21.4,51.0,2.0,325.0,0.0,0.0,-28.589957075733687,25.460807360796936,0.3376554765181768 
 05/04  04:10:00,21.3,50.0,2.7,333.0,0.0,0.0,-26.54344328424522,25.379505387673086 
 05/04  04:20:00,21.7,49.0,2.6,340.0,0.0,0.0,-24.468758950914208,25.35845389063882 
 05/04  04:30:00,21.7,50.0,2.7,350.0,0.0,0.0,-22.36852728533484,25.29206693251323 
 05/04  04:40:00,21.3,51.0,2.4,352.0,0.0,0.0,-20.24508750780688,25.23994989489901 
 05/04  04:50:00,21.1,50.0,2.6,352.0,0.0,0.0,-18.10052843108536,25.15170684506148 
 05/04  05:00:00,21.2,52.0,2.9,343.0,0.0,0.0,-15.936718158208749,25.097297047188456,0.37851756136244565 
 05/04  05:10:00,20.8,53.0,2.2,339.0,0.0,0.0,-13.755330243338666,25.0460555883798 
 05/04  05:20:00,20.7,54.0,2.5,337.0,0.0,0.0,-11.557866676063663,24.962587880043399 
 05/04  05:30:00,20.3,55.0,2.5,339.0,0.0,0.0,-9.345678041463094,24.88473047084645 
 05/04  05:40:00,20.3,54.0,2.1,351.0,0.0,0.0,-7.119981187540064,24.818122361087466 
